initial_ph,minimum_ph,delta_ph_0,Tmax,rho,omega,P,N,TP,FP,Alerts,Execution_time
1000.0,100.0,500.0,20,0.02,1000.0,78,15922,78,0,26,13.923634767532349
1000.0,100.0,500.0,40,0.02,1000.0,78,15922,78,0,26,14.820948910713195
1000.0,100.0,500.0,80,0.02,1000.0,78,15922,78,0,26,16.8085036277771
1000.0,100.0,500.0,160,0.02,1000.0,78,15922,78,0,26,20.945866179466247
1000.0,100.0,500.0,320,0.02,1000.0,78,15922,78,0,26,30.870285058021544
1000.0,100.0,500.0,640,0.02,1000.0,78,15922,78,0,26,56.17020926475525
1000.0,100.0,500.0,1280,0.02,1000.0,75,15925,75,0,25,98.51843333244324
