initial_ph,minimum_ph,delta_ph_0,Tmax,rho,omega,P,N,TP,FP,Alerts,Execution_time
1000.0,100.0,500.0,20,0.02,1000.0,198,802,198,0,66,2.1237844705581663
1000.0,100.0,500.0,40,0.02,1000.0,198,802,198,0,66,2.900796389579773
1000.0,100.0,500.0,80,0.02,1000.0,204,796,204,0,68,4.5421209812164305
1000.0,100.0,500.0,160,0.02,1000.0,207,793,207,0,69,7.8676330804824826
1000.0,100.0,500.0,320,0.02,1000.0,210,790,210,0,70,13.298875665664672
1000.0,100.0,500.0,640,0.02,1000.0,213,787,213,0,71,21.58326871395111
1000.0,100.0,500.0,1280,0.02,1000.0,213,787,213,0,71,26.36041717529297
