prop_attacks,num_attacks,initial_ph,minimum_ph,delta_ph_0,Tmax,rho,omega,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
50,1,1000.0,100.0,500.0,20,0.02,1000.0,3,997,3,0,1,0.3619343793188656,0.23967544383802528,0.19919508842155448,0.19919508842155448
100,3,1000.0,100.0,500.0,20,0.02,1000.0,9,991,9,0,3,0.49162418282544845,0.20953498799487846,0.1494204145898365,0.1494204145898365
250,8,1000.0,100.0,500.0,20,0.02,1000.0,24,976,24,0,8,0.5899100348530713,0.17814597537865098,0.115971994884139,0.115971994884139
500,16,1000.0,100.0,500.0,20,0.02,1000.0,48,952,48,0,16,0.6518604885489645,0.15551828783109656,0.09631061180996957,0.09631061180996957
750,25,1000.0,100.0,500.0,20,0.02,1000.0,75,925,75,0,25,0.6997660679302903,0.13675414577066405,0.08173989314952285,0.08173989314952285
1000,33,1000.0,100.0,500.0,20,0.02,1000.0,99,901,99,0,33,0.7360116439769693,0.12189956586759797,0.07104439507771626,0.07104439507771626
1500,50,1000.0,100.0,500.0,20,0.02,1000.0,150,850,150,0,50,0.8010348618624281,0.09397064754096543,0.052497245298303144,0.052497245298303144
2000,66,1000.0,100.0,500.0,20,0.02,1000.0,198,802,198,0,66,0.8496096761466727,0.07213306244510631,0.03912863070411047,0.03912863070411047
