prop_attacks,num_attacks,Tmax,learning_rate,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
50,1,20,0.4,3,997,0,3,1,0.25,0.25,0.25,0.25
100,3,20,0.4,9,991,0,9,3,0.25,0.25,0.25,0.25
250,8,20,0.4,24,976,0,24,8,0.25,0.25,0.25,0.25
500,16,20,0.4,48,952,0,48,16,0.25,0.25,0.25,0.25
750,25,20,0.4,75,925,0,75,25,0.25,0.25,0.25,0.25
1000,33,20,0.4,105,895,0,105,35,0.25,0.25,0.25,0.25
1500,50,20,0.4,150,850,0,150,50,0.25,0.25,0.25,0.25
2000,66,20,0.4,198,802,0,198,66,0.25,0.25,0.25,0.25
