prop_attacks,num_attacks,Tmax,learning_rate,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
50,1,20,0.4,3,997,3,0,1,0.48999999999999994,0.21,0.15,0.15
100,3,20,0.4,9,991,9,0,3,0.795664,0.096336,0.054,0.054
250,8,20,0.4,24,976,24,0,8,0.9832743677476864,0.008327552252313599,0.004199039999999999,0.004199039999999999
500,16,20,0.4,48,952,48,0,16,0.9997179089059072,0.00014103559872002505,7.052774768639996e-05,7.052774768639996e-05
750,25,20,0.4,75,925,75,0,25,0.9999971569732179,1.4215123807932905e-06,7.10757200748242e-07,7.10757200748242e-07
1000,33,20,0.4,105,895,99,6,35,0.999999952248034,2.3875982759776602e-08,1.1937991664919591e-08,1.1937991664919591e-08
1500,50,20,0.4,150,850,150,0,50,0.9999999999919171,4.04140638730748e-12,2.0207031936619066e-12,2.0207031936619066e-12
2000,66,20,0.4,198,802,198,0,66,0.9999999999999978,1.1401251599335151e-15,5.700625799667582e-16,5.700625799667582e-16
