max_step_distance,equivalence_in_seconds,Tmax,learning_rate,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
3,10,120,0.4,168,832,87,81,56,0.9999996315435011,1.842282324938902e-07,3.394005415325638e-14,3.394005415325638e-14
10,16,120,0.4,117,883,72,45,39,0.9999952616242749,2.36918505609638e-06,5.613064426838631e-12,5.613064426838631e-12
25,39,120,0.4,126,874,54,72,42,0.9998984426219379,5.0777399728008355e-05,2.578606199622631e-09,2.578606199622631e-09
50,65,120,0.4,105,895,21,84,35,0.97220231041024,0.013800889589759998,0.00019591041023999997,0.00019591041023999997
75,89,120,0.4,111,889,12,99,37,0.8745990400000001,0.060600959999999995,0.004199039999999999,0.004199039999999999
100,115,120,0.4,117,883,9,108,39,0.795664,0.096336,0.011663999999999999,0.011663999999999999
