max_step_distance,equivalence_in_seconds,Tmax,learning_rate,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
3,10,120,0.4,105,895,99,6,35,0.999999952248034,2.3875982759776602e-08,5.700625799667586e-16,5.700625799667586e-16
10,16,120,0.4,99,901,99,0,33,0.999999952248034,2.3875982759776602e-08,5.700625799667586e-16,5.700625799667586e-16
25,39,120,0.4,99,901,99,0,33,0.999999952248034,2.3875982759776602e-08,5.700625799667586e-16,5.700625799667586e-16
50,65,120,0.4,102,898,99,3,34,0.999999952248034,2.3875982759776602e-08,5.700625799667586e-16,5.700625799667586e-16
75,89,120,0.4,99,901,99,0,33,0.999999952248034,2.3875982759776602e-08,5.700625799667586e-16,5.700625799667586e-16
100,115,120,0.4,99,901,99,0,33,0.999999952248034,2.3875982759776602e-08,5.700625799667586e-16,5.700625799667586e-16
