size_dataset,num_attacks,initial_ph,minimum_ph,delta_ph_0,Tmax,rho,omega,P,N,TP,FP,Alerts,Execution_time
1000,1,1000.0,100.0,500.0,20,0.02,1000.0,3,997,3,0,1,0.7172221422195435
2000,3,1000.0,100.0,500.0,20,0.02,1000.0,9,1991,9,0,3,1.5903591156005858
4000,6,1000.0,100.0,500.0,20,0.02,1000.0,18,3982,18,0,6,3.9920996904373167
8000,13,1000.0,100.0,500.0,20,0.02,1000.0,27,7973,27,0,9,6.81172661781311
16000,26,1000.0,100.0,500.0,20,0.02,1000.0,78,15922,78,0,26,13.559127235412598
32000,53,1000.0,100.0,500.0,20,0.02,1000.0,159,31841,159,0,53,27.35985412597656
