prop_attacks,num_attacks,initial_ph,minimum_ph,delta_ph_0,Tmax,rho,omega,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
50,1,1000.0,100.0,500.0,20,0.02,1000.0,3,997,0,3,1,0.10811804841638906,0.22069504198055523,0.33559345480152786,0.33559345480152786
100,3,1000.0,100.0,500.0,20,0.02,1000.0,9,991,0,9,3,0.009224404838198601,0.08681936038473818,0.4519781173885316,0.4519781173885316
250,8,1000.0,100.0,500.0,20,0.02,1000.0,24,976,0,24,8,0.011062554791156042,0.09411612551600528,0.44741065984641937,0.44741065984641937
500,16,1000.0,100.0,500.0,20,0.02,1000.0,48,952,0,48,16,0.014735294771584312,0.10665372767931242,0.4393054887745516,0.4393054887745516
750,25,1000.0,100.0,500.0,20,0.02,1000.0,75,925,0,75,25,0.020207628286588723,0.1219459094343865,0.4289232311395124,0.4289232311395124
1000,33,1000.0,100.0,500.0,20,0.02,1000.0,99,901,0,99,33,0.026576923139853107,0.13644737915846408,0.4184878488508414,0.4184878488508414
1500,50,1000.0,100.0,500.0,20,0.02,1000.0,150,850,0,150,50,0.04641372906629996,0.1690247286572457,0.3922807711382272,0.3922807711382272
2000,66,1000.0,100.0,500.0,20,0.02,1000.0,198,802,0,198,66,0.0756462918768648,0.19939241790207668,0.3624806451105293,0.3624806451105293
